module	term_id_REAC	genes_hugo
71	REAC:R-HSA-418886	NTN1;MYBPH;NTN3;DRAXIN;TRIM9;SLAMF1;UNC5A;UNC5B;EPB41L1;NTN4;NEO1;FYN;PTPN5;PJA1;SH2D1B;SLAMF6;SH2D1A;MAGED1;DSCAM;DCC;UNC5C;MYO10;AGAP2;PTPN21;YES1
72	REAC:R-HSA-379716	TRO;AIMP2;TPI1;RARS1;TUT4;TROAP;MARS1;DARS1;SRP14;RPL39L;SRP9;QARS1;TUT1;SRP68;KARS1;SRPRA;None;LIN28B;RPL22L1;EPRS1;PARS2;PGK1;YARS1;WDR31;LIN28A;IARS1;EEF1E1;NPSR1;LARS1;AIMP1;NPS;RPL36A-HNRNPH2;RPL7L1;SRPRB;SRP19;FAU;SRP54;DUS2;RSRC1
73	REAC:R-HSA-8847993	PTPN18;EREG;ERBB3;CBFA2T3;ERBB2;NUDT16L1;KHDRBS1;ERBB4;NRG2;NRG3;SDC4;NRG4;BTC;NRG1;GRB7;MUC4;PTK6;STAP2
74	REAC:R-HSA-8939243	TBX21;HDAC5;PCGF1;YAF2;CEP97;AUTS2;ATN1;RNF2;NR2E1;KDM2B;BCOR;None;CCP110;BCL6;RYBP;BCORL1;PCGF5;RFX7
75	REAC:R-HSA-166665	TIGAR;C5;None;PPIF;ARFGEF3;C9;C6;VDAC1;SPG7;AFG3L2;SLC25A4;HK2;HK3;MAIP1;C7;HKDC1;C5AR1;C8A;C8B;VDAC2;CD59;VDAC3;PHB2;C5AR2;PHB1
76	REAC:R-HSA-1483255	MTMR7;MTMR9;MTMR8;MTMR6
77	REAC:R-HSA-140875	CPB2;SERPIND1;PROCR;F9;CMC2;CD38;TFPI;PROC;PRTN3;F2RL3;LMAN1;F2;SPHK1;F2R;F3;F8;SERPINC1;F5;F10;F7;THBD;MCFD2;SERPINE2;IL32;PECAM1;CD177
78	REAC:R-HSA-73776	CDK13;TBPL1;CCNH;GTF2H4;MNAT1;SUB1;GTF2H1;GTF2E1;ERCC3;HEXIM2;MEPCE;CDK20;HEXIM1;GTF2H2;GTF2F2;TCEA2;GTF2E2;GTF2B;CCNK;GTF2F1;GTF2A2;GTF2A1L;CDK12;LARP7;GTF2H2C;TCEA1;GTF2H3;GTF2A1;None;GTF2H5;CTDP1
79	REAC:R-HSA-611105	NDUFB4;UQCRC1;NDUFB7;COX6A1;NDUFS7;NDUFB3;None;PMPCB;NDUFA2;NDUFA10;COX5B;NDUFB5;NDUFAF1;FOXRED1;NDUFS3;NDUFA9;UQCRC2;NDUFB10;ECSIT;NDUFS6;NDUFB11;NDUFB9;NDUFC2;COX6A2;COX7A1;NDUFS4;NDUFB8;NDUFA7;UQCRH;ACAD9;NDUFS8;CYC1;COX5A;COX8A;NDUFV1;NDUFAF3;NDUFV2;NDUFA12;NDUFB1;UQCR10;NDUFA4;NDUFV3;TMEM126B;MT-CO1;MT-CYB;MT-ND6;MT-ND1;MT-ND4L;MT-ND5;MT-ND4;MT-CO3;MT-ND2;MT-ND3;NDUFS2;NDUFAF4;NDUFA1;PMPCA;NDUFS5;NDUFA8;COX4I2;NDUFAF5;COX7A2L;UQCRQ;NDUFB6;NDUFA11;NDUFS1;NDUFA5;NDUFA3;TIMMDC1;NDUFA6;NDUFB2;NDUFA13;COX7C;COX6C;UQCRB;NDUFC2-KCTD14;NDUFC1;COX4I1;UQCR11;COX6B2;UQCRHL
81	REAC:R-HSA-5620924	HSPB11;GORASP2;IFT43;IFT81;TTC21B;IFT172;RAB2A;IFT46;IFT57;TRIP11;IFT122;DAW1;IFT80;WDR35;IFT22;IFT88;TTC30A;BLZF1;IFT52;TRAF3IP1;TULP3;WDR19;TTC30B;IFT27;IFT74;IFT140;TTC26;CLUAP1;IFT20
82	REAC:R-HSA-73780	RRN3;POLR2C;PAF1;POLR2I;POLR1F;SUPT4H1;POLR3B;ELOF1;POLR1A;POLR2D;POLR2J;POLR3K;LEO1;POLR3E;POLR2G;POLR1D;SUPT6H;POLR2L;POLR2J2;POLR1H;POLR3C;NELFB;POLR2K;POLR3H;CTR9;CDC73;RPRD2;POLR3GL;RNGTT;POLR3A;None;RPRD1B;NELFE;POLR3F;POLR1E;POLR2B;NELFA;RTF1;URI1;CRCP;POLR3D;RPRD1A;POLR3G;POLR2F;POLR2H;POLR1B;POLR1G;SUPT5H;NELFCD;RPAP2;POLR2E;POLR2J3
83	REAC:R-HSA-2168880	HBQ1;PON1;APOA1;HBA2;HBZ;ABCA7;LCAT;PON3;GZMA;AHSP;APOL1;HBA1;HBB;HP;HBM;APOA4;CD163;ABCA1;HBE1;None;MB;CD36;HPR
84	REAC:R-HSA-5663213	CEACAM6;NUFIP2;CEACAM8;FXR2;USP6NL;EPS8;NCKAP1L;ABI2;BAIAP2;ACTL7A;WASF3;SRA1;FXR1;TES;NCKAP1;ENAH;FMR1;ABI1;WASF1;TOP3B;BRK1;None;CYFIP1;WASF2
85	REAC:R-HSA-6811442	ZW10;BET1;YKT6;GOSR2;GOSR1;BNIP1;VAMP4;RINT1;STX6;NAPA;USE1;SEC22C;NBAS;STX5;TSNARE1;STX8;STX18;SEC22A;ZWILCH;SNAP47;NAPG;KNTC1;STX7;None;STX12;BET1L;VTI1A;VTI1B;SEC22B;STX10;ZNF787
86	REAC:R-HSA-446107	ITGB4;LAMB1;MAPRE3;LAMC2;DBN1;DST;ZNF687;PLEC;None;KDM5C;MAPRE1;LAMA1;ITGA6;ZMYND8;PMP22;SRCIN1
87	REAC:R-HSA-2173789	PPP1R15A;TGFBR3;VPS18;TGFB1;CAV2;TGFB3;SMAD7;SMURF2;VPS33A;ZFYVE9;LRG1;CAVIN3;VPS41;LTBP4;VPS33B;VPS39;ZFYVE16;CAV1;CAVIN1;TGFBR2;SMURF1;TGFB2;SGK1;HIVEP3;ENG;TGFBR1;VPS16;TGFBRAP1;TFAP2B;NEDD4L;LRRC32;VPS8;WWP1;VIPAS39;RNF111;VPS11
