module	term_id_REAC	genes_hugo
57	REAC:R-HSA-3371571	SRXN1;MAPKAP1;GYG1;BAG1;TUBB2A;BAG3;SLCO3A1;DUSP22;MORF4L2;TIMM22;TUBB3;VTI1B;C1orf43;RNF7;SNX1;STX8;ZFYVE21;HSPA1A;PDLIM1;MRFAP1;HSPA1B;MORF4L1;MAFG;RAMAC;RPTOR;MTOR;HSPB8;ELOF1
58	REAC:R-HSA-5362768	PSMB6;PSMB2;BUD31;PSMC4;VCP;TRAPPC4;NOP10;PSMB3;EIF3I;PSMD7;PSMD8;POMP;UFD1;EMC6;EMG1;PSMA7;PSMD4;PSMC3;PSMA1;PSMB1;PSMD13;PSMD6;PSMB7;PSMD2;RAB5IF;PSMC5;PSMB4;PSMB5
62	REAC:R-HSA-6783310	DUSP12;TOR3A;PPP1R35;SLX1A;SLX1B;CCDC51;INTS11;ISG20L2;CWC27;OXLD1;PAGR1;DEXI;NME3;NUP188;DDX28;ZNF512B;MBD6;SLX4IP;ERCC4;SYNE2;SLX4;EME1;MUS81;SELENOW;LRWD1;NAT9;RPUSD3;NUDT2
64	REAC:R-HSA-9754119	CCND2;MIS18BP1;STK26;MMD;NABP1;CCND1;CDK6;SRGAP1;QSER1;UBASH3B;CENPL;ESR1;MED24;AGR2;MUC1;DOCK11;CLIP4;BCAT1;PRKAR2B;RHOF;GXYLT1;HAPSTR1;SLC49A4;FLNB;ESR2;PSD3;SLC26A11
65	REAC:R-HSA-5419276	C1QBP;CENPX;GLRX5;COA4;RPL26L1;POP5;MRPL24;NIT2;MRPL46;SNRNP25;HMBS;MRPL16;HSD17B10;MRPL58;C8orf33;POP7;MRPS17;TIMM10;AIMP2;CIAPIN1;MRPS7;POLR3K;LBHD1;DCTPP1;STOML2;EMC8;MRPL17
71	REAC:R-HSA-1474244	LTBP2;GAS6;NBL1;SIGIRR;ITPRIP;ARHGEF40;TRIOBP;TK2;CTHRC1;WDR13;TRIM8;HTRA1;SGSM3;COL12A1;CPNE2;HECTD3;MRC2;LAMB2;BMP1;LTBP3;PRRX1;MMP2;HIP1;SMARCD3
72	REAC:R-HSA-5419276	TOMM5;MRPS23;NOPCHAP1;EMC4;TMEM126A;MRPS36;BOLA3;NDUFAF2;MRPL51;DNAJC19;HIKESHI;GTF3C6;ZBTB8OS;CHCHD1;COMMD1;DPY30;MRPS18C;MRPL14;MRPS21;MRPL36;PIGY;COX16;NUDT5;CIAO2A
73	REAC:R-HSA-70263	GSTP1;AP2S1;NME2;CLPTM1L;TUBB4B;PRDX1;MIF;PGAM1;GPI;TMEM147;ATP6V0B;TKT;TALDO1;LDHA;TPI1;PGK1;ACOT7;ENO1;CHCHD2;CSNK2B;BNIP3;BCAP31;SLC25A5;ALDOA
77	REAC:R-HSA-111453	BCL2L11;BCL2;BCL2L1;CASP8;TNFRSF10A;BAD;CASP10;AKR1A1;RAB13;CAPN2;SPNS1;ORAI1;GUSB;RIPK3;HSPA1L;RIPK1;BAX;AP1S1;SHB;ARRDC1;FASLG;GPR137;BIK
79	REAC:R-HSA-6809371	SCNM1;EHMT2;CCDC85B;TEAD4;THAP7;PRRC2B;ZMYM3;XAGE2;TCHP;C19orf25;KRT17;C7orf50;LZTS2;SYTL4;TEKT4;KRT15;MAGEA4;KRT8;FGFR3;KRT6A;KRT6B;KRT19;KRT18
80	REAC:R-HSA-73728	H2BC12;EDEM2;SIK3;H2BC5;H2AC6;PIGU;UQCC1;NINJ2;CTTN;SNX19;H2BC21;H1-2;H2AC8;H2AC18;H2BC7;H2BC6;H2BC9;H2BC10;H2BC4;H4C8;H2AC7;H2AC14;H3C10
85	REAC:R-HSA-917729	MFSD14B;STAMBP;TMEM167A;TIGAR;GSKIP;ACSL4;ATP2C1;OSTM1;JKAMP;NCEH1;VPS4B;STAM;TMEM165;STAM2;ITGAV;TVP23B;BNIP2;SOAT1;RPS6KC1;RNFT1;ADAM9;ETNK1
88	REAC:R-HSA-70171	HK1;BCL11A;ENO2;SPRY2;MYO10;PFN2;WDR54;PFKM;MYH10;PFKP;HABP4;TRIM2;TMEM256;RNASEH2C;GPM6B;ALDOC;YEATS2;BMERB1;EHBP1;ARG2;BCL11B
90	REAC:R-HSA-8866654	BLZF1;SNX16;CDC73;TAF9B;NEPRO;RNF20;MCEE;BRD1;BBS2;ORC4;GIN1;FPGT;GOPC;CFTR;OIP5-AS1;LEO1;FRMD6;RTF1;RASSF8;SAFB2;ZBTB21
92	REAC:R-HSA-111469	CASP9;RNF10;HDLBP;DDA1;DDB1;DIABLO;ZNRF1;UBE2V1;DAPP1;DCAF11;TAF1;AFTPH;PWWP2A;ZRANB1;HYCC2;XIAP;CTTNBP2NL;STRIP1;GCC2;APAF1;CDK13
94	REAC:R-HSA-3000171	RBMS1;NNMT;CALD1;TM4SF1;TPM1;ITGB5;IGFBP7;COL6A2;SEPTIN11;CCN2;FN1;CAVIN1;THBS1;RBPMS;FNDC3B;LAMC1;CAV1;EMP1;TGFBI;CAV2;COL4A2
97	REAC:R-HSA-5389840	CMSS1;DDX20;NOP58;DNTTIP2;MRPL47;CHAC2;NUP35;RPF2;MRPS10;MRPL32;PRPF40A;NUDCD1;UBQLN1;MRPL50;PPIL1;PNPT1;UTP4;C12orf29;TRMT10C;SAAL1
98	REAC:R-HSA-5389840	MRPL37;THAP4;SF3B5;TRIAP1;NDUFB10;ROMO1;NDUFB9;FMC1;POLE4;FAM162A;RPS19BP1;PRELID1;NAA38;NDUFV3;ISOC2;MRPL21;NAXE;MRPS24;PRADC1;MRPL27
99	REAC:R-HSA-6807004	SH3KBP1;CACUL1;ERBB2;PTK2;BAG5;CDR2;ASAP2;EGFR;AKIRIN1;CBL;MPP1;LAMA3;GRB10;ERBB3;TRIM29;MET;GRB7;BCAR1;HGF
103	REAC:R-HSA-426496	ARID2;TNRC6B;PHF20L1;AGO1;DCUN1D1;LEMD3;SETD2;ZNF281;GATAD1;CUL3;MIER1;EPC1;ZKSCAN1;KLF12;FOXP1;ANKRD12;FAM76B;PAN3;RAB11FIP2
104	REAC:R-HSA-72163	CPSF1;ARFGAP1;CDK10;RHOT2;EML3;SCAP;PRPF8;PABPN1;SRRM2;CHD8;SENP3;ACIN1;H1-10;BRD9;BAK1;CXXC1;IRF3;SNRNP70;STK25
111	REAC:R-HSA-191273	MSMO1;HMGCR;HMGCS1;IDI1;NSDHL;FDFT1;ACAT2;LSS;FADS1;EBP;SCD;FDPS;DHCR24;DHCR7;INSIG1;CYP51A1;SQLE
112	REAC:R-HSA-167243	FIS1;GSTO1;EDF1;DPM3;UXT;UROD;BLOC1S1;ATOX1;POLR2I;ZNHIT1;POLR2L;CHMP2A;MEA1;C19orf53;MZT2B;MZT2A;GPX4;ELOB
117	REAC:R-HSA-3134963	NFKBIE;MAP3K14;TNIP1;RELA;IKBKE;TRAF1;REL;NFKB1;TNFAIP2;TNIP2;NINJ1;IL23A;NFKB2;CFLAR;STAT5A;RELB
118	REAC:R-HSA-6798695	GM2A;SERPINB1;CTSL;HEXB;LGMN;GNS;TIMP2;CD59;ATP6V0E1;SLC31A2;FUCA1;IL13RA1;MFSD1;IGF2R;IFNGR1;LIPA
120	REAC:R-HSA-1799339	SPCS1;TMEM258;UFC1;SRPRB;RPS27L;DAD1;SEC61B;ATRAID;TMEM208;SEC61G;PRDX4;CNPY2;FTSJ1;YIF1A;VKORC1
131	REAC:R-HSA-5685942	CSTF1;YEATS4;RAD51C;PCNA;HPRT1;UNG;MRPL39;RAD1;MAGOH;RPA2;POLE3;CDC27
138	REAC:R-HSA-379716	SRPK1;TARS1;MTHFD2;GARS1;ATP13A3;HSPA9;EIF3A;NARS1;TOMM20;EPRS1;CEBPG
139	REAC:R-HSA-77595	NUDT21;CKAP5;WBP11;NCBP2;KIF2A;NCBP1;DNM1L;API5;USP10;NUP205;CAPRIN1
140	REAC:R-HSA-110373	POT1;MLH1;HLTF;NUP107;RMI1;RFC1;POLD3;ORC3;RFC4;SMC6;PARP2
144	REAC:R-HSA-69273	PPP2R2A;TAF7;PDCD6IP;MOB4;PPP2CB;SLMAP;STK24;CMTM6;RAB21;LRIF1;PPP2R1B
149	REAC:R-HSA-72163	EIF5A;PCBP2;HNRNPL;EIF4H;PCBP1;NUTF2;SRSF6;DBT;BIVM;SETDB2
150	REAC:R-HSA-5661231	MT2A;MT1X;MT1F;None;MT1E;MT1B;MT1G;MT1H;MT1M;MT1HL1
164	REAC:R-HSA-9022537	VDR;DDX54;ZC3H10;NCOR2;PARP6;HDAC3;L3MBTL2;TRIM41
169	REAC:R-HSA-418594	RASSF2;PDE4B;CCL4;GPR183;CCL3;CD69;CD83;RGS1
182	REAC:R-HSA-9687136	DROSHA;FASTKD1;ANAPC5;CSE1L;GTF3C2;ANAPC1;TSEN15
184	REAC:R-HSA-9020702	YWHAQ;PSMD10;ARL6IP1;PSMD11;UBR7;RBBP7;USP14
186	REAC:R-HSA-69416	FAS;AHNAK;RHOB;SLFN5;TNFRSF10B;EZR;IL6ST
190	REAC:R-HSA-5696395	SKP1;CETN2;GTF2H5;RBX1;DYNLRB1;MRPS14;SEC11C
192	REAC:R-HSA-77285	ECI2;MIPEP;MPC1;HADHB;CPT2;HADHA;FARS2
212	REAC:R-HSA-69273	CDC25A;RAD54L;CDK1;CDC25C;RCC1;CCNE1
224	REAC:R-HSA-844456	DNAJB1;TAPBPL;PYCARD;ID2;JMJD6;HMOX1
234	REAC:R-HSA-210993	GUCY1B1;ANGPT2;GUCY1A1;ANGPT1;TEK
236	REAC:R-HSA-202403	CD247;LAT;ZAP70;TRAT1;PLCG1
248	REAC:R-HSA-5693548	METAP1;ALG6;MRE11;RAD50;MDC1
250	REAC:R-HSA-68877	HAUS3;TMA16;ARL6IP6;CENPQ;HAUS1
298	REAC:R-HSA-68952	PRIM2;RAD51AP1;POLA1;POLA2
299	REAC:R-HSA-68962	CDK2;ORC2;TIMELESS;ORC1
342	REAC:R-HSA-2033519	FGF1;FGF10;FGFR2
344	REAC:R-HSA-193775	AKR1C1;AKR1C2;AKR1C3
357	REAC:R-HSA-166208	RRAGC;RRAGA;RRAGD
394	REAC:R-HSA-5357786	TNFRSF1A;CTDSP2;TRADD
410	REAC:R-HSA-167044	PRKCD;SHC1;MAPKAPK2
437	REAC:R-HSA-2214320	COL4A5;COL4A6
464	REAC:R-HSA-1462054	PRSS3;PRSS2
467	REAC:R-HSA-111932	CAMK2B;CAMK2A
475	REAC:R-HSA-354194	ITGA2B;ITGB3
489	REAC:R-HSA-176034	CDK9;CCNT1
498	REAC:R-HSA-420029	PRKCI;PARD3
504	REAC:R-HSA-446205	GMPPA;GMPPB
528	REAC:R-HSA-3371599	MCCC1;PCCA
538	REAC:R-HSA-201451	SMAD7;SMAD6
588	REAC:R-HSA-191650	TJP1;GJA1
603	REAC:R-HSA-9694614	GPC6;NRP1
1	REAC:R-HSA-174824	None;CLU;GPC1;APP;SELENOS;SCARB1;PTCH1;LDLR;VLDLR;LRP8;LRP1B;RELN;FCGRT;APOA1;ALB;PEX3;CDON;APOE;BOC;APOB;PCSK9;HP;TTR;SHH;IHH;LRRTM4;HDLBP;GPLD1;CETP;LPA;APOL1;SAA1;PON1;APOC3;HPR;APOM;MSR1;APOA5;DBI;SAA4;APOC2;APOF;APOA2;LSR;LCAT;APOBR;APOC1;PCYOX1;PLTP;APOC4;SAA2;PLA2G7;APOA4;BIN1;APOH;MELTF;GAS1;PTCH2;CD163;SNX17;MPO;GPC5;GC;ABCA1;SCUBE2;FABP1;FAM169A;SMOC2;SPON1;MYLIP;SMOC1;APOD;LDLRAP1;CUBN;RBP4;GPC2;GPC6;GPC3;GPC4;SERPINA6;CD36;ZNF558;SELENOP;ABCA7;AMN;CLUL1;CBLIF;GPIHBP1;DISP2;DISP3;DISP1;HHIP
2	REAC:R-HSA-5368286	MRPL27;MRPS18B;MRPS21;MALSU1;MRPS18C;MRPS26;MRPL53;MRPL9;MRPL16;MRPL58;MRPS16;MRPL13;None;MRPS34;MRPS18A;AURKAIP1;MRPL42;MRPL38;MTIF2;MRPS7;MRPS6;MRPS5;MRPL23;MRPL2;MRPL33;MRPL12;MRPL32;MRPS28;MRPS15;MRPL4;MRPL41;CHCHD1;MRPS10;MRPS9;MRPL47;MRPL20;MRPL19;MRPS36;MRPS33;PEBP4;MRPS35;GADD45GIP1;MRPL51;MRPL57;MRPL22;MRPS11;MRPS17;ACO2;MRPL55;MRPL17;MRPL43;HIBCH;MRPL44;MRPS25;MRPS22;MRPL3;GFM1;SOD2;MRPL40;MRRF;MRPS12;MRPL21;MRPL48;MRPL54;MRPL10;MRPL50;MRPS31;MRPL24;MRPS23;MRPL18;MRPL1;MRPL49;MRPS30;MRPL45;MRPL52;PEBP1;DAP3;MRPS27;MRPL34;MRPS24;OXA1L;MRPL37;MTIF3;MRPL28;MRPL30;MRPS2;ERAL1;PTCD3;MRPL14;MRPL11;MRPL35;MRPS14;MRPL36;MRPL39;MRPL15;MRPL46
3	REAC:R-HSA-418990	USH1C;CDH1;KRT18;DSG1;USH2A;PCDH15;MYO7A;MYO7B;CDHR2;DCHS1;ADGRV1;VEZT;CDH23;ANKS4B;None;CDHR5;FAT4;ERBIN;PDZD7;USH1G;WHRN;PCDH11X;CDHR3;CDH3;CDH17;ARHGAP5;DSP;CTNNA2;AJAP1;CDH4;ZBTB33;CDH2;PKP2;CDH20;JUP;CDH12;APC2;CDH8;CDH9;CDH24;CTNNA1;CTNND1;CDH7;TCF15;KLRG1;PKP3;CDH18;CDH22;CDH5;LIMA1;CDH13;PKP4;CDH6;CDH19;DSG2;CTNNA3;ARVCF;CDH15;CDH10;CTNND2;CDH26;CDH11;DSC2;DSG4;DSC3;PERP;DSC1;FLG;DSG3;MYO1H;FAT1;FAT3;FER;PKP1;FRMD5;TLNRD1;CIB2;CIB3;PCDH9;POC5;KAZN;GLIS2;TMC1;CDH16;PCDH10;PCDH8;PCDH19;LHFPL4;LHFPL3;LHFPL5;CLRN1;TMC2;FJX1
4	REAC:R-HSA-5619507	RCHY1;HOXA11;PBX4;PBX3;MEIS1;PBX2;PBX1;TBX2;TBX3;HOXC8;DLX2;None;MSX1;NKX3-1;PAX7;HOXC12;HOXA9;NKX3-2;NKX2-5;NKX2-3;NKX2-6;HOXD13;HOXB9;HOXB5;HOXB4;HOXA2;HOXB7;HOXD3;HOXA10;HOXB2;TBX5;DEAF1;MEIS3;PKNOX2;TSHZ2;HOXB6;LMBR1;HOXC4;EN1;EN2;DLX6;GBX1;MSX2;HOXD10;HOXA5;HOXA4;HOXC9;MEIS2;HAND2;HOXA6;HOXD9;HOXC6;HOXC5;HOXA7;HOXD4;NKX2-8;HOXA3;HOXC13;PDX1;HOXD1;HOXC10;LMX1B;HAND1;ELSPBP1;PAX9;HOXB8;TBX1;DRGX;DLX1;DLX4;DLX3;TBX4;HOXC11;TBX18;HOXD8;HOXD11;HOXB13;HOXB3;IRX4;HOXD12;GBX2;NKX2-4;IRX2;GSX1;MNX1;GSX2;FAM222A;MAB21L1;MAB21L2;CSRNP1
5	REAC:R-HSA-912694	JAK1;STAT1;IL12RB2;IFNA2;IFNLR1;IFNAR2;IL12A;IL21R;IL20RA;IFNG;IL6;LRPPRC;IL12RB1;STAT6;IL6R;IL10;LIF;IFNGR1;TYK2;DTX3L;IL11;PTPN2;USP18;OSM;None;CTF1;OSMR;LIFR;IL6ST;IFNA1;IFNAR1;STAT2;IL24;IFNB1;IL11RA;EBI3;CNTFR;IL27RA;STAT4;IL27;IL13;IFNL1;IRF9;IL10RB;IL12B;IL10RA;IL22;IFNL3;IL22RA1;CRLF1;IL9;IL23A;IL23R;PARP14;PARP9;IL26;IFNGR2;SPHK2;IL13RA1;IL20RB;IFNA7;IL9R;IFNA21;CNTF;CLCF1;IFNA17;IL20;IL19;IL22RA2;IFNA14;IFNA16;IFNW1;IFNA4;IFNA8;IFNA6;IFNA10;IL31;IFNA13;ZNF586;IFNL2;IFNA5
6	REAC:R-HSA-199992	AP1M2;SYNRG;CLTCL1;SYNJ1;EPS15;YIPF6;CLTA;GAK;CLBA1;CLHC1;NECAP1;BAIAP2L2;PICALM;CPD;AP2M1;FCHO1;TACR1;NECAP2;ITSN2;TPD52L1;AP3S1;SGIP1;IGF2R;NUMB;SCLT1;EPS15L1;GBA2;AP2A2;AP2A1;AP4S1;AP3S2;AP1G1;SLC18A3;CHRM2;FCHO2;TFRC;AP1B1;KCNQ5;EPN3;AP1M1;RUNDC3A;AP1S3;AP3B1;TBC1D8B;DAB2;AMPH;DNM2;AP2S1;AP1G2;AP4B1;AP2B1;AGTR1;None;AP5S1;AP3B2;ITSN1;AP4E1;AP1S1;EPN2;REPS2;REPS1;AP3M2;AAK1;DNM1;EPN1;SNAP91;AP5M1;DNM3;AP4M1;AP1S2;PANK1;ENTHD1;NCALD;AP5B1;HIP1R;SH3GL2;CLINT1;TPD52;CLTB;AP3M1
7	REAC:R-HSA-1632852	RABGAP1;UBA5;STK35;TMEM184A;WDFY3;GABARAPL1;GABARAP;ATG16L1;MAP1LC3A;ATG3;GABARAPL2;MIB2;WIPI2;RETREG3;RB1CC1;CD300C;ATG12;None;ATG9A;PDIK1L;MAP1LC3B2;MAP1LC3C;WDR45;ATG16L2;ATG13;MAP1LC3B;ULK1;ULK3;CCPG1;CALCOCO2;ULK2;ATG5;ATG101;WDFY4;KBTBD7;PLEKHM1;NCOA7;TP53INP1;UBA3;KBTBD6;TMEM184C;TBC1D25;TECPR1;GIMAP6;FUNDC1;NIPSNAP2;MOCS3;TECPR2;ATG4B;ATG4D;NIPSNAP1;TMEM184B;ATG4A;IRGQ;BNIP3L;NAE1;WIPI1;BNIP3;FYCO1;RETREG1;MAN2C1;TP53INP2;ATG4C;UBE2F;TBC1D10B;RETREG2;RAB26;TRIM16;VMP1;DCUN1D3;ATG2A;TBC1D2;TBC1D2B;ATG10;IRGM;MAP1A;TMEM59;SEC62;ATG2B;MTERF3;SPATA18;TMEM74
8	REAC:R-HSA-112314	CFTR;CLCN2;CLIC3;GABRR2;GABRG3;ANO1;GLRB;CLIC2;CLCN1;GABRR1;GABRA5;SLC26A9;GLRA1;TTYH3;PACC1;CLDN17;CLCC1;BEST1;CLDN4;CLIC1;CLCA1;GABRG2;BEST2;GABRA2;GABRE;GABRA3;ANO6;GABRG1;GABRP;GABRA4;GABRB3;GABRQ;TTYH1;GABRB1;None;GABRB2;GLRA2;CLIC6;GABRD;CLCNKA;GABRA6;TTYH2;BEST3;CLIC5;ANO2;CLIC4;GABRA1;GLRA3;SLC26A6;CLCNKB;BEST4;NBEA;BHLHE23;CHRNA3;CHRNA6;CHRNA2;CHRNA4;TSPAN11;PSCA;GPHN;NPTN;TPRN;ARHGEF9;CHRND;CHRNA9;IQSEC3;CHRNA5;SLURP1;CHRFAM7A;CHRNB4;CHRNA7;HEPACAM;CHRNB1;CHRNA10;CHRNB3;CHRNB2;LYPD6;LYNX1-SLURP2
9	REAC:R-HSA-8951664	GLMN;USP25;KLHL2;KLHL7;KLHL17;CUL3;FBXL17;KLHL12;ZSWIM6;ARIH1;ZSWIM8;ZSWIM5;ZSWIM4;KLHL29;KLHL28;None;KEAP1;KLHL42;PDCD6;TNFAIP1;SPOP;KLHL40;KCTD13;RBM45;KLHL9;KLHL22;KCTD10;KLHL3;KCTD5;KLHL25;NIBAN2;KLHL24;KBTBD8;SPOPL;KCTD17;KCTD2;ENC1;PEF1;KLHL8;KLHL15;KLHL21;KLHL41;KLHL20;CDCA8;INCENP;IPP;KLHL26;CORO7;IVNS1ABP;NRAP;FLNC;ZER1;ZYG11A;ZYG11B;ABTB1;KLHL5;KCTD7;ASB4;KCTD6;KLHL11;BTBD6;BIRC5;EVI5;AURKC;KLHL23;KBTBD4;KCTD9;HEBP2;BTBD9;KCTD21;MYOT;MYOZ1;KBTBD2;BTBD3;KCTD11;KLHL38;KLHL14;GAS2L3
10	REAC:R-HSA-8868773	DDX52;SNU13;FBL;FAM86B1;FCF1;None;EXOSC10;EXOSC6;TFB2M;IMP4;FAM86B2;UTP20;EXOSC2;EXOSC1;PWP2;DIMT1;EXOSC3;EMG1;NOP58;DHX37;RRP36;UTP3;EXOSC4;DCAF13;UTP4;NAT10;DDX47;WDR43;DIS3L;METTL22;NOL6;UTP25;MPHOSPH10;WDR3;EXOSC8;UTP6;EXOSC5;RTCA;NOP14;WDR75;WDR46;UTP11;RSL1D1;EEF2KMT;PDCD11;RRP7A;TBL3;AATF;NOL11;EXOSC7;NOC4L;DNTTIP2;DDX49;KRR1;UTP14A;NGDN;UTP14C;PNO1;RRP9;RCL1;EXOSC9;UTP23;IMP3;MTREX;RPP38;BYSL;UTP18;C1D;FBLL1;DIS3;UTP15;BMS1;NOP56;HEATR1;NOL10
11	REAC:R-HSA-1483206	PPT1;PLD2;PLD1;MBOAT1;ACSL4;SCD;PLD3;GPD1L;GPD1;SLC27A3;MOGAT2;DGKA;PNLIPRP3;PNLIP;DGKZ;DGKI;LIPF;LIPG;DGKH;SLC27A1;DGKD;PLPP4;PLPP5;PNPLA2;LPIN1;DGKG;DGKB;DGKK;PLPP2;LIPC;DGKQ;PNPLA3;SLC27A5;SLC27A6;PNLIPRP1;PLPP3;CEL;DGKE;SLC27A4;LPIN2;LPIN3;DGAT1;ACSL3;PLD4;CLPS;GPAT4;CDS2;GNPAT;AGPAT5;ACSBG2;MOGAT1;None;DGAT2;G0S2;ACSL1;ACSL5;MOGAT3;ACSBG1;GPD2;GNPNAT1;PPT2;BSCL2;LPCAT3;GPAM;CPT1A;AGPAT3;CDS1;LMF1;AGPAT1;TMED5;AGPAT2;CPT1B;MBOAT2;AGPAT4;LCLAT1;GPAT3;SLC35F6;TMEM19;GPAT2
12	REAC:R-HSA-73728	BPTF;H3C8;IPO4;H4C4;H3-5;H2AC17;H4C13;ASF1A;H2AC21;NASP;H4C3;H4C6;H4C5;H3-3A;H4C14;MCM2;CENPA;SUPT16H;H3C13;H3C6;H3-4;H2AC12;H2AC13;H3C2;CHD1;H2BC7;TNP1;TONSL;H3C11;H2AC18;H2BC10;DIDO1;ASF1B;CGAS;H2AC1;H4C8;H2AC4;H3-3B;H3-7;H2AB3;H4C1;H4C16;H2AC19;H1-0;H2AC16;H4C12;H3C12;SSRP1;H4C15;H3C1;H2AB2;H1-10;H3C10;NSD3;H2BC8;MPHOSPH8;H2AC15;H4C2;HAT1;H3C14;H3C7;H3C3;H2BC6;H3C4;H2AC8;SIRT5;H2AC25;H2BC4;H4C9;H2BC26;H3C15;TNP2;MACROH2A1;H1-4;H4C11;KDM4A;ORC1;DOT1L;H2AC11
13	REAC:R-HSA-2028269	RSKR;YAP1;WWTR1;RASSF5;TAFAZZIN;USP9X;FRMD1;TSPAN9;VGLL4;CDX2;SAV1;STK4;STK3;CMTM3;STK38L;CDC14B;RASSF1;MOAP1;NF2;DUSP23;LATS1;LATS2;TEAD4;RASSF6;RASSF4;RASSF2;MOB3A;MOB3B;MOB3C;CDC14A;TEAD2;PTPDC1;TEAD1;CDKN3;TEAD3;UBE3B;AMOT;MOB1A;MAP1S;MAST1;WBP2;PTPN21;PNMA1;STK38;IRF2BPL;RASSF3;MAP1B;FRYL;ZNF133;GSTCD;WWC1;WWC2;WWC3;INSM1;IRF2BP2;PTPN14;MOB1B;MOB2;FRY;AMOTL1;DDN;TATDN2;IRF2BP1;PRRG2;MAST2;MAST3;MAST4;VGLL1;ZNF695;ZNF420;AMOTL2;INSM2;FAM181A;VGLL2;JCAD;PNMA8A;VGLL3;FAM181B
14	REAC:R-HSA-6805567	FUCA2;KRTAP4-12;KRTAP5-3;LCE1E;KRTAP5-2;KRTAP10-1;LCE4A;LCE1A;LCE1B;PPL;None;KRTAP1-5;KRTAP12-1;OTX1;LCE2D;LCE2B;EVPL;KRTAP5-9;KRTAP9-2;LCE5A;LCE1C;KRTAP10-8;KRTAP10-5;LCE1F;KRTAP10-9;TGM1;SPRR2F;LCE3E;SPRR3;SPRR1A;IVL;LELP1;SPRR2G;LCE3C;SPRR2A;LCE2C;LCE3B;TCHH;LCE3A;LCE1D;CDSN;SPRR1B;SPRR2E;LCE3D;LCE2A;LORICRIN;CSTA;PI3;LCE6A;SPRR2D;RPTN;SPRR2B;TRIM42;KRTAP10-10;ADAMTSL4;KRTAP4-11;KRTAP4-2;KRTAP5-6;KRTAP9-8;MACO1;GNE;SMCP;KRTAP4-4;KRTAP9-3;KRTAP5-11;FAM76B;CRCT1;KRTAP3-2;KRTAP10-11;KRTAP4-5;SLC23A1;KRTAP5-4;SPATA3;KRTAP9-4;KRTAP4-7;KRTAP4-1
15	REAC:R-HSA-917729	CHMP4B;CC2D1A;CHMP4C;None;NEDD4L;STAM;USP2;USP29;USP21;USP26;USP8;USP43;USP50;STAMBP;VPS4B;CEP55;MITD1;TSG101;HGS;NIF3L1;TATDN1;VPS37B;VPS28;SLC25A41;LITAF;CHMP5;STAM2;CHMP4A;VPS37C;VPS4A;UEVLD;ARRDC3;RNF103-CHMP3;RHPN1;CHMP2A;VPS25;TOM1;VTA1;ZFYVE1;IST1;WARS1;PTPN23;PDCD6IP;CHMP1B;HPSE;CHMP6;UBAP1;VPS36;CHMP1A;MVB12B;CHMP2B;CC2D1B;CAPN7;MVB12A;VPS37A;USP54;BROX;RHPN2;VPS37D;UBAP1L;LEMD2;CHMP7;SNF8;TOM1L1;CEP41;ZFYVE19;ARRDC1;SMCHD1;EEF1AKMT2;ALG2
16	REAC:R-HSA-72702	EIF2S1;RPS18;HBA2;EIF1AD;EIF3M;EIF3C;RPS16;RPSA;RPS2;RPS3;EIF3L;NOB1;EIF1AX;RPS3A;RACK1;EIF5;ABCE1;EIF3G;RPS8;RPS23;CSNK1E;RPS24;None;RPS10;EIF3D;RIOK1;RPS27L;RPS15;RPS15A;CSNK1D;EIF2S3;GSPT1;EIF3J;RPS11;TSR1;EIF3CL;EIF3H;RPS19;EIF3B;RPS29;RPS4X;RPS25;LTV1;RPS21;EIF1;RPS9;RPS13;RPS20;EIF3I;HBA1;EIF3A;RPS28;MCTS1;EIF1B;EIF2A;EIF4A1;EIF3F;RPS14;EIF3K;LRRC47;EIF2S2;RPS5;RPS26;EDF1;RPS12;EIF4G1;DHX29;RPS6;DENR;RIOK2;EIF2D;EIF3E;FAU
17	REAC:R-HSA-211733	SEM1;UBA52;PSMC2;PSMB9;UBFD1;PSMC3;ECPAS;PSME4;MPND;CCDC74B;None;PSMA1;PSMA2;PSMD11;PSMB3;PSMB7;ATAD2B;PSMD2;PSMC6;MYSM1;PSMD8;PSMD7;TXNL1;PSMD9;PSMA5;PSME1;PSMD14;CCDC92;USP14;PSMA8;PSMC1;UBC;PSMB6;UCHL5;PSMG2;PSME3;PSMD6;PSMD13;PSMD4;PSMC5;PSMB10;UBQLN1;PSMD12;NUB1;PSMB11;PSMB5;PSME2;UBQLN4;PSMA3;PSMD5;UBB;PSMA4;PSMD1;RAD23A;PSMF1;PSMB8;RPS27A;PSMD3;UBLCP1;UBD;PSMB4;PSMD10;PSMA6;PSMB2;PSMC4;PSMA7;PSMB1;POMP;ADRM1
